experiment_id,factor,train_domain,val_domain,test_domain,split,seed,checkpoint_rule,checkpoint_path,FOV,ghost_ratio,sampling,loss,intensity_method,mIoU,precision,recall,F1,IoU_ghost,AP,source_file,record_status,authority_rank
e6_intensity_histmatch_seed2027,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2027,best_F1_on_val,data/e6_intensity_histmatch_seed2027/best_model.pth,full,,priority,focal,histmatch,0.7985,0.7377,0.9676,0.8371,0.7199,0.9590271769854085,data/e6_intensity_histmatch_seed2027/final_results.json,formal,1
e6_intensity_histmatch_seed2028,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2028,best_F1_on_val,data/e6_intensity_histmatch_seed2028/best_model.pth,full,,priority,focal,histmatch,0.7942,0.7335,0.9646,0.8333,0.7142,0.9560357474893325,data/e6_intensity_histmatch_seed2028/final_results.json,formal,1
e6_intensity_percentile_seed2026_v2,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2026,best_F1_on_val,data/e6_intensity_percentile_seed2026_v2/best_model.pth,full,,priority,focal,percentile,0.8041,0.8656,0.7969,0.8298,0.7092,0.924688,data/e6_intensity_percentile_seed2026_v2/final_results.json,formal,1
e6_intensity_percentile_seed2027,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2027,best_F1_on_val,data/e6_intensity_percentile_seed2027/best_model.pth,full,,priority,focal,percentile,0.7953,0.8775,0.7687,0.8195,0.6943,0.8952789744504973,data/e6_intensity_percentile_seed2027/final_results.json,formal,1
e6_intensity_percentile_seed2028,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2028,best_F1_on_val,data/e6_intensity_percentile_seed2028/best_model.pth,full,,priority,focal,percentile,0.7913,0.817,0.8233,0.8201,0.6951,0.9047766638308142,data/e6_intensity_percentile_seed2028/final_results.json,formal,1
e6_intensity_zscore_seed2026,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2026,best_F1_on_val,data/e6_intensity_zscore_seed2026/best_model.pth,full,,priority,focal,zscore,0.8032,0.8235,0.8412,0.8322,0.7127,0.9229566970207587,data/e6_intensity_zscore_seed2026/final_results.json,formal,1
e6_intensity_zscore_seed2027,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2027,best_F1_on_val,data/e6_intensity_zscore_seed2027/best_model.pth,full,,priority,focal,zscore,0.793,0.8285,0.8135,0.8209,0.6962,0.9129585269086032,data/e6_intensity_zscore_seed2027/final_results.json,formal,1
e6_intensity_zscore_seed2028,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2028,best_F1_on_val,data/e6_intensity_zscore_seed2028/best_model.pth,full,,priority,focal,zscore,0.7634,0.7002,0.9496,0.8061,0.6751,0.9411109025771452,data/e6_intensity_zscore_seed2028/final_results.json,formal,1
e0_target_only_seed2026_FROZEN_TARGET_TEST,E0_baseline_FROZEN,3DRef,N/A,3DRef_seq09_independent,test,2026,frozen_no_further_selection,data/e0_target_only_seed2026/best_model.pth,full,,priority,focal,none,0.9615,0.9632586057572974,0.9974267429153301,0.9800449516041733,0.9608707393006738,0.991986606932105,data/final_target_test_results.json,formal,1
e0_target_only_seed2027_FROZEN_TARGET_TEST,E0_baseline_FROZEN,3DRef,N/A,3DRef_seq09_independent,test,2027,frozen_no_further_selection,data/e0_target_only_seed2027/best_model.pth,full,,priority,focal,none,0.9631,0.9643191477809053,0.9980747121378076,0.9809066065522011,0.9625286776154428,0.9936604483984904,data/final_target_test_results.json,formal,1
e0_target_only_seed2028_FROZEN_TARGET_TEST,E0_baseline_FROZEN,3DRef,N/A,3DRef_seq09_independent,test,2028,frozen_no_further_selection,data/e0_target_only_seed2028/best_model.pth,full,,priority,focal,none,0.9624,0.9638380102975157,0.9977666389965043,0.9805088986867927,0.9617630867299208,0.9923892990584867,data/final_target_test_results.json,formal,1
e0_source_only_seed2026_TARGET_TEST,E0_baseline_TARGET_TEST,3DRef,N/A,3DRef_seq09_independent,test,2026,frozen_no_further_selection,data/e0_source_only_seed2026/best_model.pth,full,,priority,focal,none,0.2587,0.8171256454353825,0.0006428910937747537,0.0012847713504633412,0.0006427986077097224,0.5613509303214891,data/e0_full_target_test_metrics.json,formal,1
e0_source_only_seed2027_TARGET_TEST,E0_baseline_TARGET_TEST,3DRef,N/A,3DRef_seq09_independent,test,2027,frozen_no_further_selection,data/e0_source_only_seed2027/best_model.pth,full,,priority,focal,none,0.2583,0.249999999375,3.3854191352014416e-07,6.770828830732313e-07,3.3854156968861173e-07,0.5127622642367045,data/e0_full_target_test_metrics.json,formal,1
e0_source_only_seed2028_TARGET_TEST,E0_baseline_TARGET_TEST,3DRef,N/A,3DRef_seq09_independent,test,2028,frozen_no_further_selection,data/e0_source_only_seed2028/best_model.pth,full,,priority,focal,none,0.2583,0.24999999989583332,2.031251481120865e-06,4.062469792151794e-06,2.031239103248554e-06,0.5052523098548029,data/e0_full_target_test_metrics.json,formal,1
e0_direct_mixed_seed2026_TARGET_TEST,E0_baseline_TARGET_TEST,synth_C_v5+3DRef,N/A,3DRef_seq09_independent,test,2026,frozen_no_further_selection,data/e0_direct_mixed_seed2026/best_model.pth,full,,priority,focal,none,0.8458,0.8561532130583367,0.994525777258376,0.9201665329572379,0.8521374547559918,0.9733928452200737,data/e0_full_target_test_metrics.json,formal,1
e0_direct_mixed_seed2027_TARGET_TEST,E0_baseline_TARGET_TEST,synth_C_v5+3DRef,N/A,3DRef_seq09_independent,test,2027,frozen_no_further_selection,data/e0_direct_mixed_seed2027/best_model.pth,full,,priority,focal,none,0.9416,0.9457192434361874,0.994888355647756,0.9696808964392444,0.9411461971223826,0.989805947357382,data/e0_full_target_test_metrics.json,formal,1
e0_direct_mixed_seed2028_TARGET_TEST,E0_baseline_TARGET_TEST,synth_C_v5+3DRef,N/A,3DRef_seq09_independent,test,2028,frozen_no_further_selection,data/e0_direct_mixed_seed2028/best_model.pth,full,,priority,focal,none,0.9417,0.943844407318613,0.9972297115216614,0.9698029272009581,0.9413761332727805,0.9885385147311977,data/e0_full_target_test_metrics.json,formal,1
